id,pedido_id,item_numero,descripcion,cantidad,peso_total,espesor,material,unidad_cobro,precio_unitario,total_linea,origen_precio,detalles
1614,251,5,S,1.0,8.78256,0.6,Galvanizado,kg,160.0,1405.2096000000001,Lista: S (Galv),
1615,251,6,Medio Codo,2.0,0.17748741855720893,0.5,Galvanizado,kg,160.0,28.39798696915343,Lista: Medio Codo (Galv),
1616,251,7,Ducto Cilindrico,2.0,5.813266776461628,0.5,Galvanizado,kg,216.0,1255.6656237157117,Lista: Ducto Cilindrico (Galv),
1620,253,1,S,1.0,2.8703999999999996,0.5,Galvanizado,kg,160.0,459.26399999999995,Lista: S (Galv),Dim: A:20cm B:45cm d:10cm H:48cm | Unión: TDF / TDF
1621,254,1,Pleno,1.0,0.0,,Galvanizado,un,12000.0,12000.0,Lista: Pleno (Pieza Esp.),
1622,254,2,Ducto Recto,1.0,3.1226879999999997,0.6,Galvanizado,kg,160.0,499.63007999999996,Lista: Ducto Recto (Galv),
1623,254,3,Unión c/ Lona,1.0,,0.5,Galvanizado,un,2340.0,2340.0,Lista: Unión c/ Lona (Pieza Esp.),
1624,254,4,Transformación,1.0,7.6043520000000004,0.6,Galvanizado,kg,160.0,1216.69632,Lista: Transformación (Galv),
1625,254,5,S,1.0,8.977727999999999,0.6,Galvanizado,kg,160.0,1436.4364799999998,Lista: S (Galv),
1626,254,6,Ducto Recto,2.0,16.58928,0.5,Galvanizado,kg,160.0,2654.2848,Lista: Ducto Recto (Galv),
1627,254,7,Unión c/ Lona,1.0,,0.5,Galvanizado,un,2340.0,2340.0,Lista: Unión c/ Lona (Pieza Esp.),
1628,254,8,Transformación,1.0,6.4152000000000005,0.5,Galvanizado,kg,160.0,1026.432,Lista: Transformación (Galv),
1629,254,9,Unión c/ Lona,1.0,,0.5,Galvanizado,un,2340.0,2340.0,Lista: Unión c/ Lona (Pieza Esp.),
1630,254,10,Transformación,1.0,3.7228800000000004,0.5,Galvanizado,kg,160.0,595.6608000000001,Lista: Transformación (Galv),
1631,254,11,Ducto Recto,1.0,2.56464,0.5,Galvanizado,kg,160.0,410.3424,Lista: Ducto Recto (Galv),
1636,259,1,Ducto Recto,1.0,5.9799999999999995,0.5,Galvanizado,kg,160.0,956.8,Lista: Ducto Recto (Galv),Dim: A:45cm B:20cm H:100cm | Unión: Balleta / Balleta
1637,260,1,Transformación,1.0,5.253199999999999,0.5,Galvanizado,kg,160.0,840.5119999999998,Lista: Transformación (Galv),"Dim: A:151,5cm B:14cm C:90cm D:30cm H:40cm | Unión: Pestaña 15 / Tapa ciega | Simetría: Simétrico"
1638,260,2,Collarín,2.0,1.0838519999999998,0.5,Galvanizado,un,504.0,1008.0,Lista: Collarín (Pieza Esp.),Dim: H:15cm Ø:25cm | Unión: Liso / Liso
1639,260,3,Collarín,1.0,0.43354079999999995,0.5,Galvanizado,un,504.0,504.0,Lista: Collarín (Pieza Esp.),Dim: H:15cm Ø:20cm | Unión: Liso / Liso
1640,261,1,Caja Difusora Esp.,5.0,17.83172398001661,0.5,Galvanizado,un,960.0,4800.0,Lista: Caja Difusora Esp. (Pieza Esp.),
1641,261,2,Caja Difusora Esp.,1.0,2.1407447960033217,0.5,Galvanizado,un,960.0,960.0,Lista: Caja Difusora Esp. (Pieza Esp.),
1642,262,1,Ducto Recto,2.0,1.8574399999999998,0.5,Galvanizado,kg,160.0,297.19039999999995,Lista: Ducto Recto (Galv),
1643,262,2,Ducto Recto,1.0,2.7147200000000002,0.5,Galvanizado,kg,160.0,434.3552,Lista: Ducto Recto (Galv),
1644,262,3,Ducto Recto,1.0,1.28592,0.5,Galvanizado,kg,160.0,205.7472,Lista: Ducto Recto (Galv),
1645,262,4,Ducto Recto,1.0,2.7861599999999997,0.5,Galvanizado,kg,160.0,445.78559999999993,Lista: Ducto Recto (Galv),
1646,262,5,Ducto Recto,2.0,6.14384,0.5,Galvanizado,kg,160.0,983.0144,Lista: Ducto Recto (Galv),
